code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
49,17,Sheffield Utd,SHU,False,18,14,134.0,2.0,6.0,,,False,False
6,18,Spurs,TOT,False,21,14,137.0,5.0,13.0,,,False,False
21,19,West Ham,WHU,False,25,14,140.0,2.0,8.0,,,False,True
39,20,Wolves,WOL,False,38,14,131.0,4.0,1.0,,,False,False
3,1,Arsenal,ARS,False,1,15,146.0,2.0,12.0,,,False,False
7,2,Aston Villa,AVL,False,2,15,141.0,5.0,13.0,,,False,True
91,3,Bournemouth,BOU,False,127,15,143.0,2.0,8.0,,,False,False
94,4,Brentford,BRE,False,130,15,142.0,3.0,5.0,,,False,False
36,5,Brighton,BHA,False,131,15,142.0,3.0,4.0,,,False,True
90,6,Burnley,BUR,False,43,15,149.0,2.0,20.0,,,False,False
8,7,Chelsea,CHE,False,4,15,150.0,4.0,14.0,,,False,False
31,8,Crystal Palace,CRY,False,6,15,143.0,2.0,3.0,,,False,True
11,9,Everton,EVE,False,7,15,144.0,4.0,15.0,,,False,True
54,10,Fulham,FUL,False,34,15,145.0,2.0,16.0,,,False,True
14,11,Liverpool,LIV,False,10,15,147.0,2.0,17.0,,,False,False
102,12,Luton,LUT,False,163,15,146.0,4.0,1.0,,,False,True
43,13,Man City,MCI,False,11,15,141.0,3.0,2.0,,,False,False
1,14,Man Utd,MUN,False,12,15,150.0,3.0,7.0,,,False,True
4,15,Newcastle,NEW,False,23,15,144.0,2.0,9.0,,,False,False
17,16,Nott'm Forest,NFO,False,15,15,145.0,2.0,10.0,,,False,False
49,17,Sheffield Utd,SHU,False,18,15,147.0,4.0,11.0,,,False,True
6,18,Spurs,TOT,False,21,15,148.0,2.0,19.0,,,False,True
21,19,West Ham,WHU,False,25,15,148.0,3.0,18.0,,,False,False
39,20,Wolves,WOL,False,38,15,149.0,2.0,6.0,,,False,True
3,1,Arsenal,ARS,False,1,16,151.0,3.0,2.0,,,False,False
7,2,Aston Villa,AVL,False,2,16,151.0,4.0,1.0,,,False,True
91,3,Bournemouth,BOU,False,127,16,157.0,4.0,14.0,,,False,False
94,4,Brentford,BRE,False,130,16,158.0,2.0,17.0,,,False,False
36,5,Brighton,BHA,False,131,16,152.0,2.0,6.0,,,False,True
90,6,Burnley,BUR,False,43,16,152.0,3.0,5.0,,,False,False
8,7,Chelsea,CHE,False,4,16,154.0,2.0,9.0,,,False,False
31,8,Crystal Palace,CRY,False,6,16,153.0,4.0,11.0,,,False,True
11,9,Everton,EVE,False,7,16,154.0,3.0,7.0,,,False,True
54,10,Fulham,FUL,False,34,16,155.0,2.0,19.0,,,False,True
14,11,Liverpool,LIV,False,10,16,153.0,2.0,8.0,,,False,False
102,12,Luton,LUT,False,163,16,156.0,5.0,13.0,,,False,True
43,13,Man City,MCI,False,11,16,156.0,2.0,12.0,,,False,False
1,14,Man Utd,MUN,False,12,16,157.0,2.0,3.0,,,False,True
4,15,Newcastle,NEW,False,23,16,159.0,3.0,18.0,,,False,False
17,16,Nott'm Forest,NFO,False,15,16,160.0,2.0,20.0,,,False,False
49,17,Sheffield Utd,SHU,False,18,16,158.0,3.0,4.0,,,False,True
6,18,Spurs,TOT,False,21,16,159.0,4.0,15.0,,,False,True
21,19,West Ham,WHU,False,25,16,155.0,2.0,10.0,,,False,False
39,20,Wolves,WOL,False,38,16,160.0,2.0,16.0,,,False,True
3,1,Arsenal,ARS,False,1,17,161.0,3.0,5.0,,,False,True
